relationship_iri,relationship_label,source_iri,source_label,target_iri,target_label
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34,http://www.w3.org/2002/07/owl#NamedIndividual,NamedIndividual
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,http://www.semanticweb.org/ardesilva/KnowledgeGraph#Rider012,Rider012,http://www.w3.org/2002/07/owl#NamedIndividual,NamedIndividual
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.w3.org/2002/07/owl#NamedIndividual,NamedIndividual
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.w3.org/2002/07/owl#NamedIndividual,NamedIndividual
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSpeedObservation1,BicycleSpeedObservation1,http://www.w3.org/2002/07/owl#NamedIndividual,NamedIndividual
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001,http://www.w3.org/2002/07/owl#NamedIndividual,NamedIndividual
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isAheadLeft,isAheadLeft,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isBehind,isBehind,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isInstalledOn,isInstalledOn,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isInstalledOn,isInstalledOn,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarAcceleratioObservation1,CarAcceleratioObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#ProximityToClosestEntityLongitudinalObservation1,ProximityToClosestEntityLongitudinalObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#RoadSurfaceObservation1,RoadSurfaceObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSpeedObservation1,BicycleSpeedObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#TrafficConditionObservation1,TrafficConditionObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#DoorOpeningCertaintyObservation1,DoorOpeningCertaintyObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarEngineStatusObservation1,CarEngineStatusObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#ProximityToClosestEntityLongitudinalObservation2,ProximityToClosestEntityLongitudinalObservation2,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSpeedObservation1,CarSpeedObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#DoorLockStatusObservation1,DoorLockStatusObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleLongitudeObservation1,BicycleLongitudeObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleLatitudeObservation1,BicycleLatitudeObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#RoadConditionObservation1,RoadConditionObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isMadeBy,isMadeBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleBrakesConditionObservation1,BicycleBrakesConditionObservation1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isOn,isOn,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleLane001,BicycleLane001
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isOn,isOn,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarState,CarState,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isOn,isOn,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleState,BicycleState,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001
http://www.semanticweb.org/ardesilva/KnowledgeGraph#isOnLane,isOnLane,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34,http://www.semanticweb.org/ardesilva/KnowledgeGraph#ParkingLane45,ParkingLane45
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarAcceleratioObservation1,CarAcceleratioObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#RoadSurfaceObservation1,RoadSurfaceObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.semanticweb.org/ardesilva/KnowledgeGraph#DoorLockStatusObservation1,DoorLockStatusObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.semanticweb.org/ardesilva/KnowledgeGraph#DoorOpeningCertaintyObservation1,DoorOpeningCertaintyObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarEngineStatusObservation1,CarEngineStatusObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSpeedObservation1,CarSpeedObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleLongitudeObservation1,BicycleLongitudeObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSpeedObservation1,BicycleSpeedObservation1
